Indicator,Unit,Subgroup,Area,Area ID,Time Period,Source,Data Value,Footnotes
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Lesotho,LSO,2015,UNAIDS_Spectrum Estimates_,29104,
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Lesotho,LSO,1992,UNAIDS_Spectrum Estimates_,8633,
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Lesotho,LSO,1993,UNAIDS_Spectrum Estimates_,12261,
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Lesotho,LSO,1994,UNAIDS_Spectrum Estimates_,16954,
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Lesotho,LSO,1995,UNAIDS_Spectrum Estimates_,21894,
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Lesotho,LSO,1996,UNAIDS_Spectrum Estimates_,26034,
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Lesotho,LSO,1997,UNAIDS_Spectrum Estimates_,29224,
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Lesotho,LSO,1998,UNAIDS_Spectrum Estimates_,31830,
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Mongolia,MNG,1990,UNAIDS_Spectrum Estimates_,0,
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Mongolia,MNG,1999,UNAIDS_Spectrum Estimates_,1,
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Mongolia,MNG,2000,UNAIDS_Spectrum Estimates_,2,
Checking other errors,Number,All sexes Young people (15-24) lower estimate,Mongolia,MNG,2001,UNAIDS_Spectrum Estimates_,2,
Checking other errors,Number,All sexes Young people (15-24) higher estimate,Mongolia,MNG,2001,UNAIDS_Spectrum Estimates_,2,
Checking other errors,Number,All sexes Young people (15-24) imaginary estimate,Mongolia,MNG,2001,UNAIDS_Spectrum Estimates_,2,
